순번,구분,위치,상세위치,위도,경도,비고
1,쓰레기통,올림픽홀(뮤즈라이브),1-3게이트 앞,37.51478,127.12699,
2,쓰레기통,올림픽홀(뮤즈라이브),1-1게이트 앞,37.5150613,127.1271355,
3,쓰레기통,올림픽홀(뮤즈라이브),ticket box근처,37.5153881,127.1271355,
4,자판기,올림픽홀(뮤즈라이브),ticket box 근처,37.5153881,127.1271355,
5,쓰레기통,올림픽테니스장,실외 테니스장,37.5147028,127.1284129,
6,화장실,실내테니스장,실내 테니스장 근처,37.5140784,127.1276414,
7,쓰레기통,장미광장,광장 근처,37.5133037,127.1277595,
8,쓰레기통,장미광장,광장 입구 근처,37.5128944,127.1281809,
9,쓰레기통,장미광장,광장 근처,37.5127856,127.1270319,
10,자판기,장미광장,광장 근처,37.5127856,127.1270319,
11,쓰레기통,장미광장,광장 근처,37.5131425,127.1271845,
12,자판기,우리금융아트홀(올림픽역도경기장),아트홀 근처,37.5174938,127.1250809,
13,쓰레기통,우리금융아트홀(올림픽역도경기장),아트홀 근처,37.5174393,127.1249653,
14,쓰레기통,벨로드롬(올림픽사이클경기장),농구장 옆,37.5174981,127.1238605,
15,자판기,88마당,놀이시설 앞,37.5179882,127.1236325,
16,쓰레기통,88마당,놀이시설 앞,37.5179469,127.1237261,
17,화장실,88마당,야생화학습장 가는길,37.5187798,127.1234518,
18,쓰레기통,88마당,시니어복합놀이시설 ,37.5182341,127.1234428,
19,쓰레기통,SK핸드볼경기장(올림픽펜싱경기장),2-2게이트 앞,37.5177339,127.1257116,
20,쓰레기통,SK핸드볼경기장(올림픽펜싱경기장),2-3티켓부스 옆,37.517822,127.1259315,
21,쓰레기통,SK핸드볼경기장(올림픽펜싱경기장),2-3게이트 앞,37.5178977,127.1263379,
22,자판기,SK핸드볼경기장(올림픽펜싱경기장),2-3게이트 앞,37.5178975,127.1263875,
23,간이편의점,SK핸드볼경기장(올림픽펜싱경기장),2-4게이트 앞,37.5179797,127.1266158,
24,쓰레기통,SK핸드볼경기장(올림픽펜싱경기장),티켓박스 옆,37.5179799,127.1265458,
25,쓰레기통,SK핸드볼경기장(올림픽펜싱경기장), 2-4게이트 앞),37.5178108,127.1267271,
26,식음료판매점,SK핸드볼경기장(올림픽펜싱경기장),2-4게이트앞,37.5177414,127.1268482,영업일 유동적
27,쓰레기통,SK핸드볼경기장(올림픽펜싱경기장),2-5게이트 앞,37.517647,127.126935,
28,쓰레기통,조각공원,,37.516695,127.1208994,
29,음수대,조각공원,,37.516695,127.1208994,코로나19로 사용불가
30,쓰레기통,소마미술관,,37.5163341,127.1192773,
31,자판기,소마미술관,도보산책로 근처,37.5168912,127.1193739,
32,쓰레기통,소마미술관,도보산책로 근처,37.5168984,127.1194319,
33,쓰레기통,소마미술관,1관 입구 부근,37.5174135,127.1177823,
34,쓰레기통,소마미술관,지구촌공원 부근,37.5165567,127.1174648,
35,자판기,평화의 광장,어린이놀이터 부근,37.5178446,127.1172013,
36,쓰레기통,평화의 광장,어린이놀이터 부근,37.5178916,127.1171765,
37,쓰레기통,평화의 광장,어린이놀이터 부근,37.5179531,127.1169297,
